,prop,name,url,east,north,uarn,descrip,nav,rv,effdate,category,postcode,lattitude,longitude
2619,BLACK THOMSON PROPERTIES LTD,"2ND & 3RD FL, 18 SOUTH TAY STREET, DUNDEE, DD1 1PD",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=086280&PPRN=086280&ASSESSOR_IDX=14#results,339933,729986,86280,OFFICE,"&pound;11,100","&pound;11,100",01/04/2023,Offices,DD1 1PD,56.45816936,-2.97626541
2620,SCOTT & CO,"SUITE 3 SEABRAES 1ST FLR WEST, 18 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=303291&PPRN=303291&ASSESSOR_IDX=14#results,339859,729717,303291,OFFICE,"&pound;29,600","&pound;29,600",01/04/2023,Offices,DD1 4QB,56.45574362,-2.97740382
2621,RDA ARCHITECTS,"SUITE 1 SEABRAES 1ST FLR EAST, 18 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=304035&PPRN=304035&ASSESSOR_IDX=14#results,339885,729724,304035,OFFICE,"&pound;16,600","&pound;16,600",01/04/2023,Offices,DD1 4QB,56.45580982,-2.97698365
2622,T A MILLARD SCOTLAND LTD,"SUITE 2 SEABRAES 1ST FLR EAST, 18 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=304036&PPRN=304036&ASSESSOR_IDX=14#results,339885,729725,304036,OFFICE,"&pound;30,000","&pound;30,000",01/04/2023,Offices,DD1 4QB,56.4558188,-2.97698388
2623,GRAHAM & SIBBALD,"SEABRAES 3RD FLR EAST, 18 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=304555&PPRN=304555&ASSESSOR_IDX=14#results,339884,729724,304555,OFFICE,"&pound;46,400","&pound;46,400",01/04/2023,Offices,DD1 4QB,56.45580969,-2.97699988
2624,GLENDOWER TRUST,"SEABRAES 3RD FLR WEST, 18 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=304556&PPRN=304556&ASSESSOR_IDX=14#results,339859,729717,304556,OFFICE,"&pound;31,300","&pound;31,300",01/04/2023,Offices,DD1 4QB,56.45574362,-2.97740382
2625,SECRETARY OF STATE FOR HOUSING - COMMUNITY & LOCAL GOVERNMENT,"SEABRAES GF WEST, 18 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=304623&PPRN=304623&ASSESSOR_IDX=14#results,339859,729717,304623,OFFICE,"&pound;28,600","&pound;28,600",01/04/2023,Offices,DD1 4QB,56.45574362,-2.97740382
2626,RSB LINDSAYS,"SEABRAES 2ND FLR WEST, 18 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=304624&PPRN=304624&ASSESSOR_IDX=14#results,339859,729717,304624,OFFICE,"&pound;29,600","&pound;29,600",01/04/2023,Offices,DD1 4QB,56.45574362,-2.97740382
2627,LINDSAYS,"SEABRAES 2ND FLR EAST, 18 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=304788&PPRN=304788&ASSESSOR_IDX=14#results,339885,729724,304788,OFFICE,"&pound;47,400","&pound;47,400",01/04/2023,Offices,DD1 4QB,56.45580982,-2.97698365
2628,BRUCE B OWER,"2ND FLOOR, 18B WEST MARKETGAIT, DUNDEE, DD1 1QR",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=307294&PPRN=307294&ASSESSOR_IDX=14#results,339978,730051,307294,OFFICE (PART),&pound;0,&pound;0,01/04/2024,Offices,DD1 1QR,56.45875896,-2.97555035
2629,CALEDONIA HOUSING ASSOCIATION,"SEABRAES GF EAST, 18 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=309303&PPRN=309303&ASSESSOR_IDX=14#results,339859,729717,309303,OFFICE,"&pound;31,400","&pound;31,400",01/04/2023,Offices,DD1 4QB,56.45574362,-2.97740382
2630,MEDICAL & DENTAL FINANCIAL PLANNING SERVICES LTD,"SEABRAES GF EAST, 18 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=309304&PPRN=309304&ASSESSOR_IDX=14#results,339859,729717,309304,OFFICE,"&pound;14,700","&pound;14,700",01/04/2023,Offices,DD1 4QB,56.45574362,-2.97740382
2631,BRUCE B OWER,"2ND FLOOR, 18B WEST MARKETGAIT, DUNDEE, DD1 1QR",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=762795&PPRN=762795&ASSESSOR_IDX=14#results,339978,730051,762795,OFFICE (PART),&pound;0,&pound;0,01/04/2024,Offices,DD1 1QR,56.45875896,-2.97555035
2632,DUNDEE CITY COUNCIL,"2ND & 3RD FL, 18 DOCK STREET, DUNDEE, DD1 3DP",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=772064&PPRN=772064&ASSESSOR_IDX=14#results,340504,730204,772064,OFFICE,"&pound;15,400","&pound;15,400",01/04/2023,Offices,DD1 3DP,56.46020016,-2.96705154
2633,KUMULOS LTD T/A OPTIMOVE,"20 EXCHANGE COURT, EXCHANGE STREET, DUNDEE, DD1 3DE",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=304589&PPRN=304589&ASSESSOR_IDX=14#results,340482,730276,304589,OFFICE,"&pound;23,000","&pound;23,000",31/05/2023,Offices,DD1 3DE,56.46084412,-2.96742495
2634,COSTUME DETAIL LTD,"GROUND FLOOR, 20 MILNBANK ROAD, DUNDEE, DD1 5QE",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=330439&PPRN=330439&ASSESSOR_IDX=14#results,339029,730413,330439,OFFICES,"&pound;6,800","&pound;6,800",14/10/2024,Offices,DD1 5QE,56.4618885,-2.99103149
2635,PEARSON VUE,"20B EXCHANGE STREET, DUNDEE, DD1 3DL",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=800370&PPRN=800370&ASSESSOR_IDX=14#results,340499,730268,800370,OFFICE,"&pound;11,200","&pound;11,200",01/04/2023,Offices,DD1 3DL,56.46077441,-2.96714729
2636,ROCKSTAR NORTH LTD,"VISION AT SEABRAES UNIT 01, 20 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=812601&PPRN=812601&ASSESSOR_IDX=14#results,339777,729752,812601,OFFICE,"&pound;61,000","&pound;61,000",01/04/2023,Offices,DD1 4QB,56.45604753,-2.97874216
2637,OUTPLAY ENTERTAINMENT LTD,"VISION AT SEABRAES UNIT 02, 20 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=812602&PPRN=812602&ASSESSOR_IDX=14#results,339777,729752,812602,OFFICE,"&pound;121,500","&pound;121,500",01/04/2023,Offices,DD1 4QB,56.45604753,-2.97874216
2638,ROCKSTAR NORTH LTD,"VISION AT SEABRAES STUDIO ONE, 20 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=812603&PPRN=812603&ASSESSOR_IDX=14#results,339777,729752,812603,OFFICE,"&pound;346,000","&pound;346,000",06/12/2024,Offices,DD1 4QB,56.45604753,-2.97874216
2639,BE INTERNATIONAL LIMITED BE COMMERCIAL CONSULTANTS LLP,"VISION AT SEABRAES UNIT 04, 20 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=812604&PPRN=812604&ASSESSOR_IDX=14#results,339777,729752,812604,OFFICE,"&pound;28,300","&pound;28,300",01/04/2023,Offices,DD1 4QB,56.45604753,-2.97874216
2640,TAG GAMES,"VISION AT SEABRAES UNIT 06A, 20 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=812607&PPRN=812607&ASSESSOR_IDX=14#results,339777,729752,812607,OFFICE,"&pound;52,400","&pound;52,400",01/04/2023,Offices,DD1 4QB,56.45604753,-2.97874216
2641,HYPER LUMINAL GAMES LTD,"VISION AT SEABRAES UNIT 07, 20 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=812608&PPRN=812608&ASSESSOR_IDX=14#results,339777,729752,812608,OFFICE,"&pound;37,200","&pound;37,200",01/04/2023,Offices,DD1 4QB,56.45604753,-2.97874216
2642,HENDERSON LOGGIE,"VISION AT SEABRAES UNIT 08, 20 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=812609&PPRN=812609&ASSESSOR_IDX=14#results,339777,729752,812609,OFFICE,"&pound;157,750","&pound;157,750",01/04/2023,Offices,DD1 4QB,56.45604753,-2.97874216
2643,NINJA KIWI EUROPE LIMITED,"VISION AT SEABRAES UNIT 13, 20 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=812614&PPRN=812614&ASSESSOR_IDX=14#results,339777,729752,812614,OFFICE,"&pound;58,700","&pound;58,700",01/04/2023,Offices,DD1 4QB,56.45604753,-2.97874216
2644,BE INTERNATIONAL LIMITED BE COMMERCIAL CONSULTANTS LLP,"VISION AT SEABRAES (SECURITY), 20 GREENMARKET, DUNDEE, DD1 4QB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=812615&PPRN=812615&ASSESSOR_IDX=14#results,339777,729752,812615,OFFICE,"&pound;1,900","&pound;1,900",01/04/2023,Offices,DD1 4QB,56.45604753,-2.97874216
2645,STIRLING INTERNATIONAL,"SUITE 2, 21A SOUTH TAY STREET, DUNDEE, DD1 1NR",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=086250&PPRN=086250&ASSESSOR_IDX=14#results,339964,729987,86250,OFFICE,&pound;640,&pound;640,01/04/2023,Offices,DD1 1NR,56.4581823,-2.97576271
2646,STEPHEN BENNET  T/A CASA DI GELATO,"BASE & GR, 21 ALBERT SQUARE, MEADOWSIDE, DUNDEE, DD1 1DJ",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=089195&PPRN=089195&ASSESSOR_IDX=14#results,340317,730465,89195,OFFICE,"&pound;8,500","&pound;8,500",01/04/2023,Offices,DD1 1DJ,56.46252086,-2.97014537
2647,STIRLING INTERNATIONAL LTD,"SUITE 1, 21A SOUTH TAY STREET, DUNDEE, DD1 1NR",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=312121&PPRN=312121&ASSESSOR_IDX=14#results,339963,729987,312121,OFFICE,&pound;940,&pound;940,01/04/2023,Offices,DD1 1NR,56.45818217,-2.97577894
2648,STIRLING INTERNATIONAL LTD,"SUITE 3, 21A SOUTH TAY STREET, DUNDEE, DD1 1NR",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=312122&PPRN=312122&ASSESSOR_IDX=14#results,339963,729987,312122,OFFICE,&pound;730,&pound;730,01/04/2023,Offices,DD1 1NR,56.45818217,-2.97577894
2649,GRAHAM J OGILVY T/A DUNDEE PRESS AGENCY LTD,"SUITE 4, 21A SOUTH TAY STREET, DUNDEE, DD1 1NR",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=312123&PPRN=312123&ASSESSOR_IDX=14#results,339963,729987,312123,OFFICE,"&pound;1,000","&pound;1,000",01/04/2023,Offices,DD1 1NR,56.45818217,-2.97577894
2650,DERMA T RETAIL LTD,"3/0, 21 DOCK STREET, DUNDEE, DD1 3DP",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=321536&PPRN=321536&ASSESSOR_IDX=14#results,340514,730214,321536,OFFICE,"&pound;5,400","&pound;5,400",01/04/2023,Offices,DD1 3DP,56.46029125,-2.96689158
2651,DUNDEE TELEPHONE ASSETS LIMITED,"21 WARD ROAD, DUNDEE, DD1 1BA",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=709448&PPRN=709448&ASSESSOR_IDX=14#results,339938,730377,709448,OFFICE,&pound;0,&pound;0,07/11/2024,Offices,DD1 1BA,56.46168211,-2.97627452
2652,JAMES A MCCHESNEY,"1/0, 21 ALBERT SQUARE, MEADOWSIDE, DUNDEE, DD1 1DJ",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=725925&PPRN=725925&ASSESSOR_IDX=14#results,340317,730465,725925,OFFICE,"&pound;6,200","&pound;6,200",01/04/2023,Offices,DD1 1DJ,56.46252086,-2.97014537
2653,LXI PROPERTY HOLDINGS 2 LTD,"GILROY COURT, 21 BROWN STREET, DUNDEE, DD1 5EF",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=738744&PPRN=738744&ASSESSOR_IDX=14#results,339763,730443,738744,OFFICE & STORE,"&pound;1,500","&pound;1,500",01/04/2023,Offices,DD1 5EF,56.46225256,-2.97912919
2654,COUNTRYWIDE ESTATE AGENTS LIMITED,"G/O, 21 DOCK STREET, DUNDEE, DD1 3DP",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=752587&PPRN=752587&ASSESSOR_IDX=14#results,340516,730217,752587,OFFICE,"&pound;8,700","&pound;8,700",01/04/2023,Offices,DD1 3DP,56.46031845,-2.96685983
2655,CAMERON STEWART,"2/0, 21 DOCK STREET, DUNDEE, DD1 3DP",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=DD1&ASSESSOR_ID=tayside&CLASS=0003&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=780963&PPRN=780963&ASSESSOR_IDX=14#results,340514,730214,780963,OFFICE,"&pound;7,100","&pound;7,100",01/04/2023,Offices,DD1 3DP,56.46029125,-2.96689158
